,交易所,代码,公司,行业,亮点数目,风险数目
132,SH,600273,嘉化能源,化学原料,3,1
133,SH,600612,老凤祥,服装与配饰,5,1
134,SH,603839,安正时尚,服装与配饰,2,5
135,SH,601949,中国出版,传媒,1,0
136,SZ,46,泛海控股,住宅地产开发和管理,1,7
137,SZ,573,粤宏远Ａ,住宅地产开发和管理,0,3
138,SZ,819,岳阳兴长,化学原料,0,4
139,SZ,838,财信发展,住宅地产开发和管理,1,4
140,SZ,2867,周大生,服装与配饰,2,1
141,SZ,2181,粤传媒,传媒,0,5
142,SH,603685,晨丰科技,家用电器,0,4
143,SZ,656,金科股份,住宅地产开发和管理,5,1
144,SH,601718,际华集团,服装与配饰,1,4
145,SZ,2643,万润股份,化学原料,2,1
146,SH,600322,天房发展,住宅地产开发和管理,0,7
147,SZ,2077,*ST大港,住宅地产开发和管理,0,8
148,SZ,2762,金发拉比,服装与配饰,1,2
149,SH,600091,ST明科,化学原料,1,11
150,SH,603822,嘉澳环保,化学原料,1,2
151,SZ,333,美的集团,家用电器,6,2
152,SZ,2712,思美传媒,传媒,0,4
153,SZ,300403,汉宇集团,家用电器,0,2
154,SH,600639,浦东金桥,住宅地产开发和管理,3,1
155,SZ,719,中原传媒,传媒,3,1
156,SH,600854,春兰股份,家用电器,1,6
157,SZ,2763,汇洁股份,服装与配饰,1,2
158,SZ,2145,中核钛白,化学原料,3,1
159,SZ,2345,潮宏基,服装与配饰,2,3
160,SZ,2731,萃华珠宝,服装与配饰,4,6
161,SZ,300082,奥克股份,化学原料,4,1
162,SH,603808,歌力思,服装与配饰,3,1
163,SH,600325,华发股份,住宅地产开发和管理,5,1
164,SZ,521,长虹美菱,家用电器,0,3
165,SZ,2246,北化股份,化学原料,2,3
166,SH,600185,格力地产,住宅地产开发和管理,3,2
167,SZ,917,电广传媒,传媒,0,2
168,SZ,2674,兴业科技,服装与配饰,1,3
169,SZ,2676,顺威股份,家用电器,0,4
170,SH,600773,西藏城投,住宅地产开发和管理,1,2
171,SZ,2485,希努尔,服装与配饰,1,7
172,SH,600177,雅戈尔,住宅地产开发和管理,4,1
173,SH,601098,中南传媒,传媒,5,0
174,SH,600663,陆家嘴,商业地产开发和管理,3,2
175,SH,600159,大龙地产,住宅地产开发和管理,0,3
176,SH,600082,海泰发展,工业地产开发和管理,0,6
177,SZ,2032,苏泊尔,家用电器,4,1
178,SZ,615,京汉股份,住宅地产开发和管理,0,4
179,SZ,921,海信家电,家用电器,4,1
180,SZ,2494,华斯股份,服装与配饰,0,5
181,SH,601900,南方传媒,传媒,1,2
182,SH,600373,中文传媒,传媒,4,1
183,SH,603908,牧高笛,服装与配饰,1,2
184,SZ,300654,世纪天鸿,传媒,1,2
185,SZ,156,华数传媒,传媒,1,2
186,SH,600095,湘财股份,住宅地产开发和管理,2,6
187,SH,601858,中国科传,传媒,2,0
188,SZ,2404,嘉欣丝绸,服装与配饰,1,2
189,SH,600748,上实发展,住宅地产开发和管理,2,0
190,SH,600229,城市传媒,传媒,2,2
191,SH,600757,长江传媒,传媒,1,2
192,SH,600791,京能置业,住宅地产开发和管理,0,5
193,SH,601928,凤凰传媒,传媒,2,0
194,SH,601216,君正集团,化学原料,6,0
195,SZ,2888,惠威科技,家用电器,2,3
196,SH,600825,新华传媒,传媒,0,2
197,SZ,300505,川金诺,化学原料,1,3
198,SH,600604,市北高新,工业地产开发和管理,1,2
199,SZ,2238,天威视讯,传媒,1,1
200,SH,600936,广西广电,传媒,0,6
201,SZ,2029,七匹狼,服装与配饰,1,0
202,SH,600637,东方明珠,传媒,3,2
203,SZ,2986,宇新股份,化学原料,1,2
204,SZ,300610,晨化股份,化学原料,4,2
205,SZ,402,金融街,住宅地产开发和管理,2,2
206,SH,600684,珠江实业,住宅地产开发和管理,0,6
207,SZ,2125,湘潭电化,化学原料,1,3
208,SH,600400,红豆股份,服装与配饰,0,1
209,SH,600277,亿利洁能,化学原料,1,5
210,SH,603677,奇精机械,家用电器,1,2
211,SZ,29,深深房Ａ,住宅地产开发和管理,1,2
212,SH,600895,张江高科,工业地产开发和管理,1,2
213,SZ,2016,世荣兆业,住宅地产开发和管理,4,1
214,SZ,2805,丰元股份,化学原料,2,5
215,SH,600215,*ST经开,工业地产开发和管理,0,6
216,SZ,797,中国武夷,住宅地产开发和管理,0,4
217,SH,601019,山东出版,传媒,2,1
218,SH,600037,歌华有线,传媒,2,0
